Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Requested Quantity 2,Pack Quantity 2,Pack Type 2,Digi-Key Part Number 2,Unit Price 2,Extended Price 2,Minimum Order Quantity 2,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image
1,SS-5H-2A-APH,Eaton - Electronics Division,FUSE BOARD MNT 2A 300VAC RADIAL,"1,118",In Stock,,1,1,Cut Tape (CT),283-SS-5H-2A-APHCT-ND,0.48000,$0.48,1,,,,,,,,,283-4166-1-ND,11,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-ss-5h-subminiature-radial-leaded-time-delay-fuses-data-sheet.pdf,,-,,Active,RoHS Compliant,1  (Unlimited),EAR99,8536.10.0040,China,,283-4166-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/536/SS-5H-Series-APH.JPG
2,1935161,Phoenix Contact,TERM BLK 2POS SIDE ENTRY 5MM PCB,"170,445",In Stock,,1,1,Bulk,277-1667-ND,0.51000,$0.51,1,2,2,Bulk,277-1667-ND,0.51000,$1.02,1,,277-1667-ND,12,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/909/1935161.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8536.90.4000,China,https://www.phoenixcontact.com/online/portal/us?1dmy&urile=wcm%3apath%3a/usen/web/main/service_and_support/application_pages/Product_Compliance/Product_Compliance,277-1667-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/819/1935161.jpg
3,B72214S0351K101,EPCOS - TDK Electronics,VARISTOR DISC 14MM,"47,810",In Stock,,1,1,Bulk,495-6464-ND,0.51000,$0.51,1,,,,,,,,,495-6464-ND,19,https://www.tdk-electronics.tdk.com/inf/70/db/var/SIOV_Leaded_StandarD.pdf?ref_disty=digikey,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,Not Applicable,EAR99,8533.40.4000,China,https://www.tdk-electronics.tdk.com/en/180310/company/sustainability/environmental-protection/reach|https://www.tdk-electronics.tdk.com/download/2078174/66ff23f8bbbac65cb7b31f8fa69f2b53/reach-rohs-declaration.pdf,495-6464-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2978/VARISTOR 14MM SERIES.jpg
4,PNP300JR-73-12R,YAGEO,RES 12 OHM 5% 3W AXIAL,"7,075",In Stock,,1,1,Cut Tape (CT),12AECT-ND,0.57000,$0.57,1,,,,,,,,,12AECT-ND,16,https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20PNP_datasheet_2023v3.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,Not Applicable,EAR99,8533.21.0080,China,,12AECT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2486/12-Ohm-Axial-PNP-5%.jpg
5,744772472,Würth Elektronik,FIXED IND 4.7MH 240MA 9.5 OHM TH,"2,363",In Stock,,1,1,Tray,732-3790-ND,1.02000,$1.02,1,,,,,,,,,732-3790-ND,15,https://katalog.we-online.de/pbs/datasheet/744772472.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,Not Applicable,EAR99,8504.50.8000,China,http://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/744/Certificate_of_Compliance_ROHS.pdf,732-3790-ND,"https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/540/WE-TI-SERIES,-0.307-x-0.374.jpg"
6,450BXW22MEFR12.5X20,Rubycon,CAP ALUM 22UF 20% 450V RADIAL,"54,024",In Stock,,1,1,Bulk,1189-2936-ND,1.39000,$1.39,1,,,,,,,,,1189-2936-ND,22,https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/BXW.pdf,,-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8532.22.0020,Japan,,1189-2936-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1241/450BXW33MEFC12.5X25.jpg
7,C717U102MYVDBA7317,KEMET,CAP CER 1NF X1/Y2 400V/250V,"5,870",In Stock,,1,1,Cut Tape (CT),399-C717U102MYVDBA7317CT-ND,0.76000,$0.76,1,,,,,,,,,399-C717U102MYVDBA7317CT-ND,16,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C717U102MYVDBA7317,,-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8532.23.0060,Taiwan,,399-C717U102MYVDBA7317CT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4828/MFG_C717U102MYVDBA7317.jpg
8,ECA-1CM471,Panasonic Electronic Components,CAP ALUM 470UF 20% 16V RADIAL,"217,283",In Stock,,1,1,Bulk,P5141-ND,0.39000,$0.39,1,,,,,,,,,P5141-ND,22,"https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2452/ECA-xxM Series,TypeA.pdf",,-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8532.22.0020,Malaysia,,P5141-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/373/ECA-1HM101B.JPG
9,35TZV100M6.3X8,Rubycon,CAP ALUM 100UF 20% 35V SMD,"151,149",In Stock,,1,1,Cut Tape (CT),1189-1620-1-ND,0.44000,$0.44,1,,,,,,,,,1189-1620-1-ND,20,https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/TZV.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.22.0020,Japan,,1189-1620-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/505/35TZV100M6.3X8.JPG
10,CC0805KRX7R9BB104,YAGEO,CAP CER 0.1UF 50V X7R 0805,"6,363,539",In Stock,,1,1,Cut Tape (CT),311-1140-1-ND,0.10000,$0.10,1,10,10,Cut Tape (CT),311-1140-1-ND,0.07000,$0.70,1,,311-1140-1-ND,16,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_23.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.24.0020,Taiwan,,311-1140-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2485/0805(8^5mm thickness).jpg
